personaLabel	genderLabel	age	coord	articolo
Alberto Papuzzi	maschio	77	Point(11.35 46.5)	https://it.wikipedia.org/wiki/Alberto_Papuzzi
Alberto Patrucco	maschio	62	Point(9.233333333 45.683333333)	https://it.wikipedia.org/wiki/Alberto_Patrucco
Alberto Plebani	maschio	93	Point(13.575277777 42.854722222)	https://it.wikipedia.org/wiki/Alberto_Plebani
Alberto Prunetti	maschio	46	Point(10.52212 42.934824)	https://it.wikipedia.org/wiki/Alberto_Prunetti
Alberto Quadrio Curzio	maschio	82	Point(10.168888888 46.216388888)	https://it.wikipedia.org/wiki/Alberto_Quadrio_Curzio
Alberto Ravaioli	maschio	74	Point(12.040833333 44.2225)	https://it.wikipedia.org/wiki/Alberto_Ravaioli
Alberto Robol	maschio	74	Point(10.85 45.883333333)	https://it.wikipedia.org/wiki/Alberto_Robol
Alberto Rossi	maschio	53	Point(10.316666666 43.55)	https://it.wikipedia.org/wiki/Alberto_Rossi_(attore)
Alberto Rossi	maschio	76	Point(10.933333333 45.316666666)	https://it.wikipedia.org/wiki/Alberto_Rossi_(politico)
Alberto Samonà	maschio	47	Point(13.361262 38.115658)	https://it.wikipedia.org/wiki/Alberto_Samon%C3%A0_(giornalista)
Alberto Sette	maschio	59	Point(-117.1625 32.715)	https://it.wikipedia.org/wiki/Alberto_Sette
Alberto Siliotti	maschio	69	Point(10.993741666 45.438158333)	https://it.wikipedia.org/wiki/Alberto_Siliotti
Alberto Sinigaglia	maschio	71	Point(12.331944444 45.439722222)	https://it.wikipedia.org/wiki/Alberto_Sinigaglia
Alberto Stefani	maschio	27	Point(11.933333333 45.566666666)	https://it.wikipedia.org/wiki/Alberto_Stefani
Alberto Stramaccioni	maschio	63	Point(12.483333333 43.016666666)	https://it.wikipedia.org/wiki/Alberto_Stramaccioni
Alberto Tafner	maschio	73	Point(11.11666667 46.06666667)	https://it.wikipedia.org/wiki/Alberto_Tafner
Alberto Tedesco	maschio	70	Point(16.866666666 41.125277777)	https://it.wikipedia.org/wiki/Alberto_Tedesco
Alberto Terrani	maschio	84	Point(12.016666666 45.25)	https://it.wikipedia.org/wiki/Alberto_Terrani
Alberto Testa	maschio	97	Point(7.7 45.066666666)	https://it.wikipedia.org/wiki/Alberto_Testa_(danzatore)
Alberto Tomba	maschio	53	Point(11.342777777 44.493888888)	https://it.wikipedia.org/wiki/Alberto_Tomba
Alberto Toni	maschio	65	Point(12.482777777 41.893055555)	https://it.wikipedia.org/wiki/Alberto_Toni
Alberto Torazzi	maschio	56	Point(9.190336 45.464161)	https://it.wikipedia.org/wiki/Alberto_Torazzi
Alberto Toscano	maschio	71	Point(8.616666666 45.45)	https://it.wikipedia.org/wiki/Alberto_Toscano
Alberto Ventura	maschio	66	Point(12.482777777 41.893055555)	https://it.wikipedia.org/wiki/Alberto_Ventura
Alberto Zolezzi	maschio	45	Point(9.344722222 44.307222222)	https://it.wikipedia.org/wiki/Alberto_Zolezzi
Alberto Zolezzi	maschio	45	Point(9.35383 44.3062)	https://it.wikipedia.org/wiki/Alberto_Zolezzi
Alberto Zorzoli	maschio	76	Point(9.190336 45.464161)	https://it.wikipedia.org/wiki/Alberto_Zorzoli
Alberto di Luca	maschio	67	Point(9.190336 45.464161)	https://it.wikipedia.org/wiki/Alberto_di_Luca
Albrecht Plangger	maschio	59	Point(10.533333333 46.8)	https://it.wikipedia.org/wiki/Albrecht_Plangger
Albrecht Plangger	maschio	59	Point(10.54265 46.80832)	https://it.wikipedia.org/wiki/Albrecht_Plangger
Alcibiade Boratto	maschio	88	Point(12.8 41.966666666)	https://it.wikipedia.org/wiki/Alcibiade_Boratto
Alcide Angeloni	maschio	93	Point(10.133333333 44.033333333)	https://it.wikipedia.org/wiki/Alcide_Angeloni
Alcide Pierantozzi	maschio	34	Point(13.883330555 42.943780555)	https://it.wikipedia.org/wiki/Alcide_Pierantozzi
Alda D'Eusanio	femmina	69	Point(14.3167 42.3333)	https://it.wikipedia.org/wiki/Alda_D%27Eusanio
Alda D'Eusanio	femmina	69	Point(14.316666666 42.333333333)	https://it.wikipedia.org/wiki/Alda_D%27Eusanio
Alda D'Eusanio	femmina	69	Point(14.3236 42.34542)	https://it.wikipedia.org/wiki/Alda_D%27Eusanio
Alda Grimaldi	femmina	100	Point(7.7 45.066666666)	https://it.wikipedia.org/wiki/Alda_Grimaldi
Alda Teodorani	femmina	51	Point(11.916666666 44.416666666)	https://it.wikipedia.org/wiki/Alda_Teodorani
Aldo Agosti	maschio	76	Point(7.7 45.066666666)	https://it.wikipedia.org/wiki/Aldo_Agosti
Aldo Ajello	maschio	83	Point(13.361262 38.115658)	https://it.wikipedia.org/wiki/Aldo_Ajello
Aldo Alessandro Mola	maschio	76	Point(7.55 44.383333333)	https://it.wikipedia.org/wiki/Aldo_Alessandro_Mola
Aldo Arroni	maschio	74	Point(9.190336 45.464161)	https://it.wikipedia.org/wiki/Aldo_Arroni
Aldo Baglio	maschio	61	Point(13.361262 38.115658)	https://it.wikipedia.org/wiki/Aldo_Baglio
Aldo Bottin	maschio	81	Point(11.833333333 45.283333333)	https://it.wikipedia.org/wiki/Aldo_Bottin
Aldo Brancati	maschio	83	Point(16.35 39.3)	https://it.wikipedia.org/wiki/Aldo_Brancati
Aldo Brancher	maschio	76	Point(12.134444444 46.074444444)	https://it.wikipedia.org/wiki/Aldo_Brancher
Aldo Brandirali	maschio	78	Point(9.190336 45.464161)	https://it.wikipedia.org/wiki/Aldo_Brandirali
Aldo Busi	maschio	71	Point(10.3917 45.4161)	https://it.wikipedia.org/wiki/Aldo_Busi
Aldo Cazzullo	maschio	53	Point(8.025636 44.691542)	https://it.wikipedia.org/wiki/Aldo_Cazzullo
Aldo Cennamo	maschio	73	Point(14.25 40.833333333)	https://it.wikipedia.org/wiki/Aldo_Cennamo
